danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like
0.657,0.571,2,-12.519,1,0.14,0.106,0.00121,0.0735,0.626,167.961,audio_features,4SUwJA3eUVNHExxMPEUhQe,spotify:track:4SUwJA3eUVNHExxMPEUhQe,https://api.spotify.com/v1/tracks/4SUwJA3eUVNHExxMPEUhQe,https://api.spotify.com/v1/audio-analysis/4SUwJA3eUVNHExxMPEUhQe,207307,4,0
0.85,0.473,10,-5.747,0,0.209,0.117,0.0105,0.108,0.38,85.454,audio_features,41a7dZcq30Ss5kPMayWRV0,spotify:track:41a7dZcq30Ss5kPMayWRV0,https://api.spotify.com/v1/tracks/41a7dZcq30Ss5kPMayWRV0,https://api.spotify.com/v1/audio-analysis/41a7dZcq30Ss5kPMayWRV0,157605,4,0
0.888,0.372,7,-10.254,0,0.358,0.013,0,0.184,0.123,133.998,audio_features,4n1bdaKwynQndm47x5HqWX,spotify:track:4n1bdaKwynQndm47x5HqWX,https://api.spotify.com/v1/tracks/4n1bdaKwynQndm47x5HqWX,https://api.spotify.com/v1/audio-analysis/4n1bdaKwynQndm47x5HqWX,162800,4,0
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,217925,4,0
0.826,0.318,10,-12.391,1,0.0574,0.493,0.0131,0.11,0.138,103.002,audio_features,6G8kHiVZ1jW7vHMPVRNZU0,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/tracks/6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/audio-analysis/6G8kHiVZ1jW7vHMPVRNZU0,245787,4,0
0.686,0.428,2,-13.072,1,0.192,0.0414,0,0.138,0.329,141.95,audio_features,3mvYQKm8h6M5K5h0nVPY9S,spotify:track:3mvYQKm8h6M5K5h0nVPY9S,https://api.spotify.com/v1/tracks/3mvYQKm8h6M5K5h0nVPY9S,https://api.spotify.com/v1/audio-analysis/3mvYQKm8h6M5K5h0nVPY9S,289560,4,0
0.5,0.448,0,-10.977,1,0.442,0.422,8.03e-06,0.115,0.104,144.204,audio_features,44Du2IM1bGY7dicmLfXbUs,spotify:track:44Du2IM1bGY7dicmLfXbUs,https://api.spotify.com/v1/tracks/44Du2IM1bGY7dicmLfXbUs,https://api.spotify.com/v1/audio-analysis/44Du2IM1bGY7dicmLfXbUs,219960,1,0
0.558,0.415,10,-7.355,0,0.358,0.406,0,0.36,0.317,127.096,audio_features,09lmraDvzBT3pUQ2rUtJzK,spotify:track:09lmraDvzBT3pUQ2rUtJzK,https://api.spotify.com/v1/tracks/09lmraDvzBT3pUQ2rUtJzK,https://api.spotify.com/v1/audio-analysis/09lmraDvzBT3pUQ2rUtJzK,309560,4,0
0.477,0.422,6,-10.389,1,0.174,0.939,0.0361,0.107,0.0815,87.269,audio_features,4Oqhd37CXCG6qYbmHGzJJ5,spotify:track:4Oqhd37CXCG6qYbmHGzJJ5,https://api.spotify.com/v1/tracks/4Oqhd37CXCG6qYbmHGzJJ5,https://api.spotify.com/v1/audio-analysis/4Oqhd37CXCG6qYbmHGzJJ5,176173,4,0
0.597,0.696,1,-6.799,0,0.0823,0.387,0.000762,0.126,0.427,67.526,audio_features,7i2X27hQnVtr5emUBXMnnz,spotify:track:7i2X27hQnVtr5emUBXMnnz,https://api.spotify.com/v1/tracks/7i2X27hQnVtr5emUBXMnnz,https://api.spotify.com/v1/audio-analysis/7i2X27hQnVtr5emUBXMnnz,290787,4,0
0.565,0.535,8,-5.158,1,0.386,0.537,0,0.165,0.22,159.909,audio_features,3tbqvZYf7mcIrbLvjzokhv,spotify:track:3tbqvZYf7mcIrbLvjzokhv,https://api.spotify.com/v1/tracks/3tbqvZYf7mcIrbLvjzokhv,https://api.spotify.com/v1/audio-analysis/3tbqvZYf7mcIrbLvjzokhv,375053,4,0
0.794,0.717,9,-4.629,0,0.0325,0.00454,0.301,0.146,0.937,127.446,audio_features,3baJKX6yyPUT92zNStX5z6,spotify:track:3baJKX6yyPUT92zNStX5z6,https://api.spotify.com/v1/tracks/3baJKX6yyPUT92zNStX5z6,https://api.spotify.com/v1/audio-analysis/3baJKX6yyPUT92zNStX5z6,234173,4,0
